scheme,numCollectors,out (kbps)
unicast,128,766.69
unicast,128,795.92
unicast,128,705.87
unicast,128,831.05
unicast,128,719.87
unicast,128,702.33
unicast,128,790.08
unicast,128,825.16
unicast,128,684.76
unicast,128,696.46
unicast,128,819.37
unicast,128,713.29
unicast,128,684.76
unicast,128,778.4
unicast,128,731.58
unicast,128,736.73
unicast,128,760.84
unicast,128,866.21
unicast,128,620.38
unicast,128,764.73
unicast,128,743.31
unicast,128,749.13
unicast,128,743.28
unicast,128,778.36
unicast,128,872.54
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.83
baseerat,8,11.71
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.84
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,8,5.85
baseerat,2,6.7
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,11.71
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
baseerat,2,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.69
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.84
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.85
unicast,1,5.66
unicast,1,18.93
baseerat,128,12.36
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.84
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,11.71
baseerat,128,5.85
baseerat,128,5.85
baseerat,128,5.85
unicast,64,351.59
unicast,64,321.87
unicast,64,409.7
unicast,64,339.46
unicast,64,368.71
unicast,64,442.93
unicast,64,280.93
unicast,64,392.14
unicast,64,357.01
unicast,64,391.77
unicast,64,345.31
unicast,64,380.42
unicast,64,374.57
unicast,64,357.01
unicast,64,392.14
unicast,64,392.13
unicast,64,362.86
unicast,64,427.24
unicast,64,392.13
unicast,64,368.72
unicast,64,298.49
unicast,64,392.14
unicast,64,386.28
unicast,64,362.87
unicast,64,474.58
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,6.5
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,11.71
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,4,5.85
baseerat,16,12.36
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.84
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.84
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,11.71
baseerat,16,5.85
baseerat,16,5.85
baseerat,16,11.71
unicast,32,123.24
unicast,32,163.88
unicast,32,175.58
unicast,32,245.81
unicast,32,111.08
unicast,32,216.55
unicast,32,181.43
unicast,32,169.72
unicast,32,187.28
unicast,32,198.98
unicast,32,228.22
unicast,32,239.95
unicast,32,105.35
unicast,32,152.0
unicast,32,198.99
unicast,32,175.58
unicast,32,204.84
unicast,32,157.84
unicast,32,198.99
unicast,32,158.02
unicast,32,234.1
unicast,32,187.1
unicast,32,175.58
unicast,32,222.4
unicast,32,271.67
unicast,4,23.41
unicast,4,23.41
unicast,4,23.3
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.39
unicast,4,23.41
unicast,4,23.41
unicast,4,23.42
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.39
unicast,4,23.41
unicast,4,23.4
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,23.41
unicast,4,49.27
unicast,2,11.71
unicast,2,11.71
unicast,2,11.66
unicast,2,11.7
unicast,2,11.7
unicast,2,11.7
unicast,2,11.7
unicast,2,11.71
unicast,2,11.7
unicast,2,11.71
unicast,2,11.71
unicast,2,11.7
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,11.71
unicast,2,23.93
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,6.18
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.84
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,5.85
baseerat,32,11.71
baseerat,32,5.85
baseerat,32,5.85
unicast,16,93.64
unicast,16,93.64
unicast,16,105.22
unicast,16,93.64
unicast,16,81.94
unicast,16,93.64
unicast,16,99.41
unicast,16,87.79
unicast,16,93.64
unicast,16,105.35
unicast,16,81.84
unicast,16,93.64
unicast,16,99.49
unicast,16,87.79
unicast,16,93.55
unicast,16,122.91
unicast,16,64.38
unicast,16,99.49
unicast,16,87.71
unicast,16,93.64
unicast,16,111.19
unicast,16,87.79
unicast,16,122.91
unicast,16,153.55
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.81
unicast,8,46.77
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.77
unicast,8,46.82
unicast,8,52.67
unicast,8,40.97
unicast,8,46.77
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.77
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,46.82
unicast,8,100.87
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,12.35
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,1,5.85
baseerat,64,6.7
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,11.7
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
baseerat,64,5.85
